date,home,away,home_goals,away_goals,neutral,stage,status,group
2026-06-11 19:00:00+00:00,Mexico,South Africa,2.0,0.0,True,GROUP_STAGE,FINISHED,GROUP_A
2026-06-12 02:00:00+00:00,South Korea,Czechia,2.0,1.0,True,GROUP_STAGE,FINISHED,GROUP_A
2026-06-12 19:00:00+00:00,Canada,Bosnia-Herzegovina,1.0,1.0,True,GROUP_STAGE,FINISHED,GROUP_B
2026-06-13 01:00:00+00:00,United States,Paraguay,4.0,1.0,True,GROUP_STAGE,FINISHED,GROUP_D
2026-06-13 19:00:00+00:00,Qatar,Switzerland,1.0,1.0,True,GROUP_STAGE,FINISHED,GROUP_B
2026-06-13 22:00:00+00:00,Brazil,Morocco,1.0,1.0,True,GROUP_STAGE,FINISHED,GROUP_C
2026-06-14 01:00:00+00:00,Haiti,Scotland,0.0,1.0,True,GROUP_STAGE,FINISHED,GROUP_C
2026-06-14 04:00:00+00:00,Australia,Turkey,2.0,0.0,True,GROUP_STAGE,FINISHED,GROUP_D
2026-06-14 17:00:00+00:00,Germany,Curaçao,7.0,1.0,True,GROUP_STAGE,FINISHED,GROUP_E
2026-06-14 20:00:00+00:00,Netherlands,Japan,2.0,2.0,True,GROUP_STAGE,FINISHED,GROUP_F
2026-06-14 23:00:00+00:00,Ivory Coast,Ecuador,1.0,0.0,True,GROUP_STAGE,FINISHED,GROUP_E
2026-06-15 02:00:00+00:00,Sweden,Tunisia,5.0,1.0,True,GROUP_STAGE,FINISHED,GROUP_F
2026-06-15 16:00:00+00:00,Spain,Cape Verde Islands,0.0,0.0,True,GROUP_STAGE,FINISHED,GROUP_H
2026-06-15 19:00:00+00:00,Belgium,Egypt,1.0,1.0,True,GROUP_STAGE,FINISHED,GROUP_G
2026-06-15 22:00:00+00:00,Saudi Arabia,Uruguay,1.0,1.0,True,GROUP_STAGE,FINISHED,GROUP_H
2026-06-16 01:00:00+00:00,Iran,New Zealand,2.0,2.0,True,GROUP_STAGE,FINISHED,GROUP_G
2026-06-16 19:00:00+00:00,France,Senegal,3.0,1.0,True,GROUP_STAGE,FINISHED,GROUP_I
2026-06-16 22:00:00+00:00,Iraq,Norway,1.0,4.0,True,GROUP_STAGE,FINISHED,GROUP_I
2026-06-17 01:00:00+00:00,Argentina,Algeria,3.0,0.0,True,GROUP_STAGE,FINISHED,GROUP_J
2026-06-17 04:00:00+00:00,Austria,Jordan,3.0,1.0,True,GROUP_STAGE,FINISHED,GROUP_J
2026-06-17 17:00:00+00:00,Portugal,Congo DR,1.0,1.0,True,GROUP_STAGE,FINISHED,GROUP_K
2026-06-17 20:00:00+00:00,England,Croatia,4.0,2.0,True,GROUP_STAGE,FINISHED,GROUP_L
2026-06-17 23:00:00+00:00,Ghana,Panama,1.0,0.0,True,GROUP_STAGE,FINISHED,GROUP_L
2026-06-18 02:00:00+00:00,Uzbekistan,Colombia,1.0,3.0,True,GROUP_STAGE,FINISHED,GROUP_K
2026-06-18 16:00:00+00:00,Czechia,South Africa,1.0,1.0,True,GROUP_STAGE,FINISHED,GROUP_A
2026-06-18 19:00:00+00:00,Switzerland,Bosnia-Herzegovina,4.0,1.0,True,GROUP_STAGE,FINISHED,GROUP_B
2026-06-18 22:00:00+00:00,Canada,Qatar,6.0,0.0,True,GROUP_STAGE,FINISHED,GROUP_B
2026-06-19 01:00:00+00:00,Mexico,South Korea,1.0,0.0,True,GROUP_STAGE,FINISHED,GROUP_A
2026-06-19 19:00:00+00:00,United States,Australia,2.0,0.0,True,GROUP_STAGE,FINISHED,GROUP_D
2026-06-19 22:00:00+00:00,Scotland,Morocco,0.0,1.0,True,GROUP_STAGE,FINISHED,GROUP_C
2026-06-20 00:30:00+00:00,Brazil,Haiti,3.0,0.0,True,GROUP_STAGE,FINISHED,GROUP_C
2026-06-20 03:00:00+00:00,Turkey,Paraguay,,,True,GROUP_STAGE,TIMED,GROUP_D
2026-06-20 17:00:00+00:00,Netherlands,Sweden,,,True,GROUP_STAGE,TIMED,GROUP_F
2026-06-20 20:00:00+00:00,Germany,Ivory Coast,,,True,GROUP_STAGE,TIMED,GROUP_E
2026-06-21 00:00:00+00:00,Ecuador,Curaçao,,,True,GROUP_STAGE,TIMED,GROUP_E
2026-06-21 04:00:00+00:00,Tunisia,Japan,,,True,GROUP_STAGE,TIMED,GROUP_F
2026-06-21 16:00:00+00:00,Spain,Saudi Arabia,,,True,GROUP_STAGE,TIMED,GROUP_H
2026-06-21 19:00:00+00:00,Belgium,Iran,,,True,GROUP_STAGE,TIMED,GROUP_G
2026-06-21 22:00:00+00:00,Uruguay,Cape Verde Islands,,,True,GROUP_STAGE,TIMED,GROUP_H
2026-06-22 01:00:00+00:00,New Zealand,Egypt,,,True,GROUP_STAGE,TIMED,GROUP_G
2026-06-22 17:00:00+00:00,Argentina,Austria,,,True,GROUP_STAGE,TIMED,GROUP_J
2026-06-22 21:00:00+00:00,France,Iraq,,,True,GROUP_STAGE,TIMED,GROUP_I
2026-06-23 00:00:00+00:00,Norway,Senegal,,,True,GROUP_STAGE,TIMED,GROUP_I
2026-06-23 03:00:00+00:00,Jordan,Algeria,,,True,GROUP_STAGE,TIMED,GROUP_J
2026-06-23 17:00:00+00:00,Portugal,Uzbekistan,,,True,GROUP_STAGE,TIMED,GROUP_K
2026-06-23 20:00:00+00:00,England,Ghana,,,True,GROUP_STAGE,TIMED,GROUP_L
2026-06-23 23:00:00+00:00,Panama,Croatia,,,True,GROUP_STAGE,TIMED,GROUP_L
2026-06-24 02:00:00+00:00,Colombia,Congo DR,,,True,GROUP_STAGE,TIMED,GROUP_K
2026-06-24 19:00:00+00:00,Switzerland,Canada,,,True,GROUP_STAGE,TIMED,GROUP_B
2026-06-24 19:00:00+00:00,Bosnia-Herzegovina,Qatar,,,True,GROUP_STAGE,TIMED,GROUP_B
2026-06-24 22:00:00+00:00,Scotland,Brazil,,,True,GROUP_STAGE,TIMED,GROUP_C
2026-06-24 22:00:00+00:00,Morocco,Haiti,,,True,GROUP_STAGE,TIMED,GROUP_C
2026-06-25 01:00:00+00:00,Czechia,Mexico,,,True,GROUP_STAGE,TIMED,GROUP_A
2026-06-25 01:00:00+00:00,South Africa,South Korea,,,True,GROUP_STAGE,TIMED,GROUP_A
2026-06-25 20:00:00+00:00,Ecuador,Germany,,,True,GROUP_STAGE,TIMED,GROUP_E
2026-06-25 20:00:00+00:00,Curaçao,Ivory Coast,,,True,GROUP_STAGE,TIMED,GROUP_E
2026-06-25 23:00:00+00:00,Tunisia,Netherlands,,,True,GROUP_STAGE,TIMED,GROUP_F
2026-06-25 23:00:00+00:00,Japan,Sweden,,,True,GROUP_STAGE,TIMED,GROUP_F
2026-06-26 02:00:00+00:00,Turkey,United States,,,True,GROUP_STAGE,TIMED,GROUP_D
2026-06-26 02:00:00+00:00,Paraguay,Australia,,,True,GROUP_STAGE,TIMED,GROUP_D
2026-06-26 19:00:00+00:00,Norway,France,,,True,GROUP_STAGE,TIMED,GROUP_I
2026-06-26 19:00:00+00:00,Senegal,Iraq,,,True,GROUP_STAGE,TIMED,GROUP_I
2026-06-27 00:00:00+00:00,Cape Verde Islands,Saudi Arabia,,,True,GROUP_STAGE,TIMED,GROUP_H
2026-06-27 00:00:00+00:00,Uruguay,Spain,,,True,GROUP_STAGE,TIMED,GROUP_H
2026-06-27 03:00:00+00:00,New Zealand,Belgium,,,True,GROUP_STAGE,TIMED,GROUP_G
2026-06-27 03:00:00+00:00,Egypt,Iran,,,True,GROUP_STAGE,TIMED,GROUP_G
2026-06-27 21:00:00+00:00,Panama,England,,,True,GROUP_STAGE,TIMED,GROUP_L
2026-06-27 21:00:00+00:00,Croatia,Ghana,,,True,GROUP_STAGE,TIMED,GROUP_L
2026-06-27 23:30:00+00:00,Colombia,Portugal,,,True,GROUP_STAGE,TIMED,GROUP_K
2026-06-27 23:30:00+00:00,Congo DR,Uzbekistan,,,True,GROUP_STAGE,TIMED,GROUP_K
2026-06-28 02:00:00+00:00,Jordan,Argentina,,,True,GROUP_STAGE,TIMED,GROUP_J
2026-06-28 02:00:00+00:00,Algeria,Austria,,,True,GROUP_STAGE,TIMED,GROUP_J
2026-06-28 19:00:00+00:00,,,,,True,LAST_32,TIMED,
